Sample_Name,Tube.Label,ID,Species,hapCode,mtDNA_haplo,Genotype,subregion,reefName,reefGroup,x.coord,y.coord,strata
AC-MOTE_28,AC_M28,MOTE,Acer,24,cerv,C1261,Lower Keys,MOTE,Lower,24.55913333,-81.41338333,Lower Keys_MOTE_MOTE
AC-MOTE_29,AC_M29,MOTE,Acer,33,cerv,C1510,Lower Keys,MOTE,Lower,24.55911667,-81.41356667,Lower Keys_MOTE_MOTE
AC-MOTE_2,AC_M2,MOTE,Acer,33,cerv,C1154,Lower Keys,MOTE,Lower,24.56832,-81.33357,Lower Keys_MOTE_MOTE
AC-MOTE_30,AC_M30,MOTE,Acer,22,cerv,C1511,Lower Keys,MOTE,Lower,24.55948333,-81.41321667,Lower Keys_MOTE_MOTE
AC-MOTE_31,AC_M31,MOTE,Acer,11,palm, C1462 ,Lower Keys,MOTE,Lower,24.52328333,-81.53571667,Lower Keys_MOTE_MOTE
AC-MOTE_32,AC_M32,MOTE,Acer,5,palm, C1279 ,Lower Keys,MOTE,Lower,24.573,-81.33149,Lower Keys_MOTE_MOTE
AC-MOTE_33,AC_M33,MOTE,Acer,24,cerv,NA,Lower Keys,MOTE,Lower,24.52983,-81.64069,Lower Keys_MOTE_MOTE
AC-MOTE_34,AC_M34,MOTE,Acer,24,cerv,NA,Lower Keys,MOTE,Lower,24.52983,-81.64069,Lower Keys_MOTE_MOTE
AC-MOTE_35,AC_M35,MOTE,Acer,13,palm,NA,Lower Keys,MOTE,Lower,24.55717,-81.51013,Lower Keys_MOTE_MOTE
AC-MOTE_36,AC_M36,MOTE,Acer,13,palm,NA,Lower Keys,MOTE,Lower,24.55717,-81.51013,Lower Keys_MOTE_MOTE
AC-MOTE_37,AC_M37,MOTE,Acer,13,palm,NA,Lower Keys,MOTE,Lower,24.5401,-81.44882,Lower Keys_MOTE_MOTE
AC-MOTE_38,AC_M38,MOTE,Acer,13,palm,NA,Lower Keys,MOTE,Lower,24.52658,-81.50102,Lower Keys_MOTE_MOTE
AC-MOTE_39,AC_M39,MOTE,Acer,11,palm,NA,Lower Keys,MOTE,Lower,24.52999,-81.48959,Lower Keys_MOTE_MOTE
AC-MOTE_3,AC_M3,MOTE,Acer,5,palm,C1155,Lower Keys,MOTE,Lower,24.56307,-81.401,Lower Keys_MOTE_MOTE
AC-MOTE_40,AC_M40,MOTE,Acer,11,palm,NA,Lower Keys,MOTE,Lower,24.52999,-81.48959,Lower Keys_MOTE_MOTE
AC-MOTE_41,AC_M41,MOTE,Acer,13,palm,NA,Lower Keys,MOTE,Lower,24.5264,-81.50517,Lower Keys_MOTE_MOTE
AC-MOTE_42,AC_M42,MOTE,Acer,12,palm,NA,Lower Keys,MOTE,Lower,24.5264,-81.50517,Lower Keys_MOTE_MOTE
AC-MOTE_43,AC_M43,MOTE,Acer,24,cerv,NA,Lower Keys,MOTE,Lower,24.52815,-81.49558,Lower Keys_MOTE_MOTE
AC-MOTE_44,AC_M44,MOTE,Acer,4,palm,NA,Lower Keys,MOTE,Lower,24.52762,-81.49719,Lower Keys_MOTE_MOTE
AC-MOTE_45,AC_M45,MOTE,Acer,4,palm,NA,Lower Keys,MOTE,Lower,24.52762,-81.49719,Lower Keys_MOTE_MOTE
AC-MOTE_46,AC_M46,MOTE,Acer,12,palm,NA,Lower Keys,MOTE,Lower,24.54129,-81.44031,Lower Keys_MOTE_MOTE
AC-MOTE_47,AC_M47,MOTE,Acer,12,palm,NA,Lower Keys,MOTE,Lower,24.54129,-81.44031,Lower Keys_MOTE_MOTE
AC-MOTE_48,AC_M48,MOTE,Acer,24,cerv,NA,Lower Keys,MOTE,Lower,24.50943,-81.62402,Lower Keys_MOTE_MOTE
AC-MOTE_4,AC_M4,MOTE,Acer,33,cerv,C1156,Lower Keys,MOTE,Lower,24.56935,-81.38168,Lower Keys_MOTE_MOTE
AC-MOTE_50,AC_M50,MOTE,Acer,13,palm,NA,Lower Keys,MOTE,Lower,24.51766,-81.5441,Lower Keys_MOTE_MOTE
AC-MOTE_51,AC_M51,MOTE,Acer,13,palm,NA,Lower Keys,MOTE,Lower,24.51766,-81.5441,Lower Keys_MOTE_MOTE
AC-MOTE_5,AC_M5,MOTE,Acer,35,cerv,C1157,Lower Keys,MOTE,Lower,24.52257,-81.51978,Lower Keys_MOTE_MOTE
AC-MOTE_6,AC_M6,MOTE,Acer,4,palm,C1158,Lower Keys,MOTE,Lower,24.52298,-81.52043,Lower Keys_MOTE_MOTE
AC-MOTE_7,AC_M7,MOTE,Acer,38,cerv,C1159,Lower Keys,MOTE,Lower,24.56038,-81.50137,Lower Keys_MOTE_MOTE
AC-MOTE_8,AC_M8,MOTE,Acer,33,cerv,C1160,Lower Keys,MOTE,Lower,24.58353,-81.43298,Lower Keys_MOTE_MOTE
AC-MOTE_9,AC_M9,MOTE,Acer,12,palm,C1161,Lower Keys,MOTE,Lower,24.6144,-81.37895,Lower Keys_MOTE_MOTE
