ID,gen_id,data_origin,species,location,reef,lat,lon,clone_group,disease_resistance
Ac_PA_CK1410,CK1410,vollmer,Ac,Panama,CK14,9.253966666666669,-82.12595,clone_50,0.4643685294538172
Ac_PA_CK141,CK141,vollmer,Ac,Panama,CK14,9.253966666666669,-82.12595,clone_51,0.36006231914342834
Ac_PA_CK142,CK142,vollmer,Ac,Panama,CK14,9.253966666666669,-82.12595,clone_53,0.5120511171164394
Ac_PA_CK144,CK144,vollmer,Ac,Panama,CK14,9.253966666666669,-82.12595,clone_54,0.36006231914342834
Ac_PA_CK145,CK145,vollmer,Ac,Panama,CK14,9.253966666666669,-82.12595,clone_55,0.45297417173908205
Ac_PA_CK146,CK146,vollmer,Ac,Panama,CK14,9.253966666666669,-82.12595,clone_56,0.43082844388256464
Ac_PA_CK147,CK147,vollmer,Ac,Panama,CK14,9.253966666666669,-82.12595,clone_57,0.45297417173908205
Ac_PA_CK410,CK410,vollmer,Ac,Panama,CK4,9.258616666666668,-82.12708333333333,clone_58,0.48779358738949097
Ac_PA_CK43,CK43,vollmer,Ac,Panama,CK4,9.258616666666668,-82.12708333333333,clone_61,0.48779358738949097
Ac_PA_CK44,CK44,vollmer,Ac,Panama,CK4,9.258616666666668,-82.12708333333333,clone_60,0.31575402033203415
Ac_PA_CK45,CK45,vollmer,Ac,Panama,CK4,9.258616666666668,-82.12708333333333,clone_63,0.5499304607291761
Ac_PA_CK46,CK46,vollmer,Ac,Panama,CK4,9.258616666666668,-82.12708333333333,clone_64,0.36006231914342834
Ac_PA_CK47,CK47,vollmer,Ac,Panama,CK4,9.258616666666668,-82.12708333333333,clone_65,0.43082844388256464
Ac_PA_CK49,CK49,vollmer,Ac,Panama,CK4,9.258616666666668,-82.12708333333333,clone_67,0.43082844388256464
Ac_PA_HS10,HS10,vollmer,Ac,Panama,HS,9.27955,-82.11548333333333,clone_68,0.48779358738949097
Ac_PA_HS1,HS1,vollmer,Ac,Panama,HS,9.27955,-82.11548333333333,clone_75,0.3328740086709328
Ac_PA_HS9,HS9,vollmer,Ac,Panama,HS,9.27955,-82.11548333333333,clone_77,0.5761101641391166
Ac_PA_SR10,SR10,vollmer,Ac,Panama,SR,9.254566666666667,-82.12718333333333,clone_78,0.31575402033203415
Ac_PA_SR1,SR1,vollmer,Ac,Panama,SR,9.254566666666667,-82.12718333333333,clone_79,0.37922043007352346
Ac_PA_SR2,SR2,vollmer,Ac,Panama,SR,9.254566666666667,-82.12718333333333,clone_80,0.3792204300735234
